name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Salsa Night Experience in Mexico City,"The perfect night plan in your visit to Mexico  City, let´´s dance and spend a night dancing, drinking mojitos and meeting other travelers.",Mercado Roma,19.414091,-99.164571,"225 Calle Querétaro, Ciudad de México, CMX 06700",2026-07-22T20:25:00,2026-07-22T23:00:00,ciudad de méxico,Latin,"Music,Party or Social Gathering,Cdmx,dance_class,dance_party,night_out,mexico_tour,salsa_night,fun_night,dance_experience,couplesdate,solo_travelers",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173437214%2F2425230194151%2F1%2Foriginal.20251223-043447?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C504%2C4032%2C2016&s=2901b63773f205f789d61fff2d04903b,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173437214%2F2425230194151%2F1%2Foriginal.20251223-043447?auto=format%2Ccompress&q=75&sharp=10&s=b139a70f2cb337657ebda8d2fc2447a6,https://www.eventbrite.com.mx/e/salsa-night-experience-in-mexico-city-tickets-1978870070651,true
Mezcal Tasting & Salsa Night Experience in Mexico City,"Guided mezcal tasting + salsa dancing in Mexico City. Five mezcals, live music, salsa dancing, great vibes, and new friends.",Avenida Sonora & Colima,19.4173639,-99.1594532,"Roma Norte, Ciudad de México, CMX 06700",2026-07-22T18:45:00,2026-07-22T23:15:00,ciudad de méxico,Spirits,"Food & Drink,Party or Social Gathering,Dance,Mezcal,Nightout,Salsadancing,Mexicocity,salsa_lessons,mezcaltastings,nightexperience,mezcal_salsa,sips_spin_steps",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176634579%2F2425230194151%2F1%2Foriginal.20260204-022056?crop=focalpoint&fit=crop&w=300&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=11c192681532e1275cd144c0298f9a4b,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176634579%2F2425230194151%2F1%2Foriginal.20260204-022056?auto=format%2Ccompress&q=75&sharp=10&s=b2af5ecc66e75b522b808d54b0116b7d,https://www.eventbrite.com.mx/e/mezcal-tasting-salsa-night-experience-in-mexico-city-tickets-1982327289285,true
Canasta de Picnic CDMX (Renta),"¡Disfruta un picnic inolvidable en la Ciudad de México!
Olvídate de organizar y disfruta de una canasta de picnic lista para usarse.",Puerta de los Leones | Chapultepec,19.4231856,-99.1758929,"Av. P.º de la Reforma 132, Ciudad de México, CMX 11580",2026-07-22T09:00:00,2026-07-22T22:00:00,ciudad de méxico,Other,"Travel & Outdoor,Party or Social Gathering,Picnic,food_and_drinks,picnic_in_the_park,outdoor_fun,picnic_basket,picnic_outdoors,family_gathering,picnic_lunch,picnic_time,cdmx_rental",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1063856143%2F1772087512903%2F1%2Foriginal.20250701-010726?w=300&auto=format%2Ccompress&q=75&sharp=10&s=1a267ad3803431cd98a7ded320d521c6,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1063856143%2F1772087512903%2F1%2Foriginal.20250701-010726?auto=format%2Ccompress&q=75&sharp=10&s=bbd0707dba499e5ef5532d52d24da779,https://www.eventbrite.com.mx/e/canasta-de-picnic-cdmx-renta-tickets-1988026499777,true
Mezcal Tasting & Salsa Night in Mexico City,Two experiences in one night: guided tasting of 5 artisanal mezcals + live salsa in CDMX. Wednesdays & Thursdays. No partner needed.,Av  Sonora y Parque España,19.4163174,-99.17035399999999,"Parque España & Av Sonora, Mexico City, CMX 06700",2026-07-22T18:50:00,2026-07-22T23:00:00,mexico city,Spirits,"Food & Drink,Dinner or Gala,Mezcal,Salsa,Salsanight,Danceparty,salsa_dancing,mezcaltastings,mexicocityevent,mezcalcdmx,catedemezcal,salsamezcal",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187051499%2F1772087512903%2F1%2Foriginal.20260616-183835?crop=focalpoint&fit=crop&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=282de00dd387aebf0d5ede1695decec1,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187051499%2F1772087512903%2F1%2Foriginal.20260616-183835?auto=format%2Ccompress&q=75&sharp=10&s=ddbcefe2d3c2f33c62d754ec767f00f6,https://www.eventbrite.com.mx/e/mezcal-tasting-salsa-night-in-mexico-city-tickets-1992014293375,true
Salsa à Mexico City – Cours & Soirée Dansante,"Nous vous emmenons dans les meilleures salles de danse de la ville pour apprendre la salsa avec d’autres voyageurs. Idéal pour les couples,",Roma Norte,19.4148447,-99.1602414,"Queretaro, Ciudad de México, CMX 06700",2026-07-22T20:25:00,2026-07-22T23:00:00,ciudad de méxico,Latin,"Music,Party or Social Gathering,Dance,Tour,Event,Dancing,Mexico,Salsa,Night,Salsaclass,dancing_for_adults,coupletravel",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183042393%2F1772087512903%2F1%2Foriginal.20260425-214619?crop=focalpoint&fit=crop&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.447&fp-y=0.292&s=151cd0f865fc2117621c039944582181,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183042393%2F1772087512903%2F1%2Foriginal.20260425-214619?auto=format%2Ccompress&q=75&sharp=10&s=16fd7b3e9818381dad013f04337110e8,https://www.eventbrite.com.mx/e/billets-salsa-a-mexico-city-cours-soiree-dansante-1987874213284,true
Dégustation de Mezcal & Nuit de Salsa à Mexico,"Dégustation guidée de mezcal + salsa à Mexico. Cinq mezcals, musique live, danse de salsa, ambiance électrique et nouvelles rencontres.",Avenida Sonora & Colima,19.4173639,-99.1594532,"Roma Norte, Ciudad de México, CMX 06700",2026-07-22T18:00:00,2026-07-22T22:00:00,ciudad de méxico,Spirits,"Food & Drink,Party or Social Gathering,Dance,Mezcal,Nightout,Salsadancing,Mexicocity,salsa_lessons,mezcaltastings,nightexperience,mezcal_salsa,sips_spin_steps",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176634579%2F2425230194151%2F1%2Foriginal.20260204-022056?crop=focalpoint&fit=crop&w=300&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=11c192681532e1275cd144c0298f9a4b,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176634579%2F2425230194151%2F1%2Foriginal.20260204-022056?auto=format%2Ccompress&q=75&sharp=10&s=b2af5ecc66e75b522b808d54b0116b7d,https://www.eventbrite.com.mx/e/degustation-de-mezcal-nuit-de-salsa-a-mexico-tickets-1987863655706,true
Cata de Mezcal y Salsa Night en Ciudad de México.,Dos experiencias en una noche: cata guiada de 5 mezcales artesanales + salsa en vivo en CDMX. Miércoles y jueves. Sin pareja ni experiencia,Av  Sonora y Parque España,19.4163174,-99.17035399999999,"Parque España & Av Sonora, Mexico City, CMX 06700",2026-07-22T18:50:00,2026-07-22T23:00:00,mexico city,Spirits,"Food & Drink,Dinner or Gala,Mezcal,Salsa,Salsanight,Danceparty,salsa_dancing,mezcaltastings,mexicocityevent,mezcalcdmx,catedemezcal,salsamezcal",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187051499%2F1772087512903%2F1%2Foriginal.20260616-183835?crop=focalpoint&fit=crop&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=282de00dd387aebf0d5ede1695decec1,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187051499%2F1772087512903%2F1%2Foriginal.20260616-183835?auto=format%2Ccompress&q=75&sharp=10&s=ddbcefe2d3c2f33c62d754ec767f00f6,https://www.eventbrite.com.mx/e/cata-de-mezcal-y-salsa-night-en-ciudad-de-mexico-tickets-1992011979454,true
Salsa Night & Tacos: Authentic Dance & Flavors,"Learn authentic salsa dancing from local instructors, then enjoy delicious tacos and drinks at traditional Mexico City nightspots",Parque México,19.4127368,-99.1700251,"s/n Avenida México, Ciudad de México, CMX 06100",2026-07-22T21:00:00,2026-07-22T23:00:00,ciudad de méxico,Latin,"Music,Party or Social Gathering,Latinparty,Salsanight,authenticdance,tacosflavors,danceandfood",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179070467%2F2093666115303%2F1%2Foriginal.20260305-010001?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C504%2C6016%2C3008&s=0ef46c67c395f0b63d583ca8fbc4dffa,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179070467%2F2093666115303%2F1%2Foriginal.20260305-010001?auto=format%2Ccompress&q=75&sharp=10&s=9190d8ea45c92101289de890edf43fb1,https://www.eventbrite.com/e/salsa-night-tacos-authentic-dance-flavors-tickets-1984516009807,true
Degustación de Mezcal y Noche de Salsa en Ciudad de México,"Degustación guiada de mezcal + salsa en Ciudad de México. Cinco mezcales, música en vivo, baile de salsa, vibra increíble y nuevos amigos.",Avenida Sonora & Colima,19.4173639,-99.1594532,"Roma Norte, Ciudad de México, CMX 06700",2026-07-22T18:00:00,2026-07-22T22:00:00,ciudad de méxico,Spirits,"Food & Drink,Party or Social Gathering,Dance,Mezcal,Nightout,Salsadancing,Mexicocity,salsa_lessons,mezcaltastings,nightexperience,mezcal_salsa,sips_spin_steps",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176634579%2F2425230194151%2F1%2Foriginal.20260204-022056?crop=focalpoint&fit=crop&w=300&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=11c192681532e1275cd144c0298f9a4b,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176634579%2F2425230194151%2F1%2Foriginal.20260204-022056?auto=format%2Ccompress&q=75&sharp=10&s=b2af5ecc66e75b522b808d54b0116b7d,https://www.eventbrite.com.mx/e/degustacion-de-mezcal-y-noche-de-salsa-en-ciudad-de-mexico-tickets-1987865547364,true
Dégustation de Mezcal & Salsa Night à Mexico City,Deux expériences en une nuit : dégustation guidée de 5 mezcals artisanaux + salsa en live à CDMX. Mercredis & jeudis.,Av  Sonora y Parque España,19.4163174,-99.17035399999999,"Parque España & Av Sonora, Mexico City, CMX 06700",2026-07-22T18:50:00,2026-07-22T23:00:00,mexico city,Spirits,"Food & Drink,Dinner or Gala,Mezcal,Salsa,Salsanight,Danceparty,salsa_dancing,mezcaltastings,mexicocityevent,mezcalcdmx,catedemezcal,salsamezcal",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187051499%2F1772087512903%2F1%2Foriginal.20260616-183835?crop=focalpoint&fit=crop&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=282de00dd387aebf0d5ede1695decec1,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187051499%2F1772087512903%2F1%2Foriginal.20260616-183835?auto=format%2Ccompress&q=75&sharp=10&s=ddbcefe2d3c2f33c62d754ec767f00f6,https://www.eventbrite.com.mx/e/billets-degustation-de-mezcal-salsa-night-a-mexico-city-1992014830983,true
