name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
NYC Public Outdoor Pools Open for the Season,"Outdoor pool hours are from 11:00 a.m. through 7:00 p.m. daily, with a break for pool cleaning between 3:00 p.m. and 4:00 p.m. \n Our pools will remain open this summer for general swim. Pool hours will remain the same: 11:00 a.m. - 3:00 p.m., and 4:00 p.m. - 7:00 p.m.",Locations across all five boroughs,,,Locations across all five boroughs,2026-07-23T00:01:00.000-04:00,,new york,Free,"Parks & Recreation,Featured",https://publish-p136379-e1368845.adobeaemcloud.com/content/dam/nycgov/events/feature/spring-summer-lap-swim-2.jpg,,https://www1.nyc.gov/events/nyc-public-outdoor-pools-open-for-the-season/386373/27,false
NYC Restaurant Week,"NYC Restaurant Week returns! From July 20 to August 16, explore the five boroughs through specially priced prix-fixe menus at hundreds of participating restaurants. Reservations open on July 14. \n \n Photo courtesy of Lanna Apisukh.",Check website for a list of participating restaurants,,,Check website for a list of participating restaurants,2026-07-23T00:01:00.000-04:00,,new york,Cultural,"Featured,General Events",https://publish-p136379-e1368845.adobeaemcloud.com/content/dam/nycgov/events/feature/nyc_restaurant_week.jpg,,https://www1.nyc.gov/events/nyc-restaurant-week/296362/4,
Astoria Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 15 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Astoria Pool,,,Astoria Pool in Astoria Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/astoria-pool-lap-swim/1053536/1,
Claremont Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Main Pool,,,Main Pool in Claremont Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/claremont-pool-lap-swim/1058516/1,
Faber Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Faber Pool,,,Faber Pool in Faber Pool and Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/faber-pool-lap-swim/1060516/1,
Gottesman Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Gottesman Pool at the Davis Center,,,Gottesman Pool at the Davis Center in Central Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/gottesman-pool-lap-swim/1062816/1,
Hamilton Fish Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Main Pool,,,Main Pool in Hamilton Fish Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/hamilton-fish-pool-lap-swim/1063376/1,
It's My Park at Leif Ericson Park,"This It's My Park season, volunteer with Parent-Child Relationship Association to rake leaves, pick up litter, plant and tend to flowers and shrubs, and remove weeds at Leif Ericson Park. We look forward to cleaning up the park with you!",Leif Ericson Park,,,Leif Ericson Park,2026-07-23T07:00:00.000-04:00,2026-07-23T09:00:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/its-my-park-at-leif-ericson-park/1047896/1,
Kosciuszko Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Kosciuszko Pool,,,Kosciuszko Pool,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/kosciuszko-pool-lap-swim/1084296/1,
Liberty Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Main Pool,,,Main Pool in Detective Keith L Williams Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/liberty-pool-lap-swim/1085356/1,
Lyons Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Lyons Pool,,,Lyons Pool,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/lyons-pool-lap-swim/1086536/1,
McCarren Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",McCarren Park Pool,,,McCarren Park Pool in McCarren Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/mccarren-pool-lap-swim/1087336/1,
Summer Sports Experience: Pickleball,"The Summer Sports Experience program participants receive age-appropriate instruction through organized clinics, skill stations, drills, conditioning, and live game situations led by experienced NYC Parks staff",Greenbelt Recreation Center in Greenbelt Recreation Center,,,Greenbelt Recreation Center in Greenbelt Recreation Center,2026-07-23T07:00:00.000-04:00,2026-07-23T12:00:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/summer-sports-experience-pickleball/1108996/1,
Van Cortlandt Pool: Lap Swim,"Take part in a long-distance lap swim competition. To participate in the competition, please speak to an Aquatics Specialist on the pool deck and indicate this on your application. An awards ceremony will be held at the end of August to celebrate the health and fitness achievements of swimmers who complete 25 miles or more. Visit https:\/\/www.nycgovparks.org\/events\/lap-swim to register.",Van Cortlandt Park Pool,,,Van Cortlandt Park Pool in Van Cortlandt Park,2026-07-23T07:00:00.000-04:00,2026-07-23T08:30:00.000-04:00,new york,Parks & Recreation,,,,https://www1.nyc.gov/events/van-cortlandt-pool-lap-swim/1111556/1,
175 street Greenmarket Thursday,Farmers Market Learn about related weekend street closures Learn about related weekly street closures Visit the NYC Street Closures Map,WEST  175 STREET between BROADWAY and WADSWORTH AVENUE  Manhattan,,,WEST  175 STREET between BROADWAY and WADSWORTH AVENUE  Manhattan,2026-07-23T08:00:00.000-04:00,2026-07-23T17:00:00.000-04:00,new york,Street and Neighborhood,,,,https://www1.nyc.gov/events/175-street-greenmarket-thursday/1044136/5,
